name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
G25长深高速与留下枢纽路口-东北向西南-5192,421,,1,0,120.05716534375,30.193669640625004,POINT(120.05716534375 30.193669640625004)
G25长深高速与留下枢纽路口-东北向西南-5292,422,,1,0,120.0571078359375,30.19276765625,POINT(120.0571078359375 30.19276765625)
G25长深高速与留下枢纽路口-东北向西南-5392,423,,1,0,120.05708899999999,30.1918725,POINT(120.05708899999999 30.1918725)
G25长深高速与留下枢纽路口-东北向西南-3792,424,,1,0,120.05889712499999,30.206153593750003,POINT(120.05889712499999 30.206153593750003)
G25长深高速与留下枢纽路口-东北向西南-5492,425,425,1,0,120.057119,30.1909709375,POINT(120.057119 30.1909709375)
G25长深高速与留下枢纽路口-东北向西南-5592,426,,1,0,120.057218,30.190072999999998,POINT(120.057218 30.190072999999998)
G25长深高速与留下枢纽路口-东北向西南-12792,427,,1,0,120.09865092187499,30.137839296875,POINT(120.09865092187499 30.137839296875)
G25长深高速与留下枢纽路口-东北向西南-5692,428,,1,0,120.05737285937501,30.18918596875,POINT(120.05737285937501 30.18918596875)
G25长深高速与留下枢纽路口-东北向西南-5792,429,,1,0,120.05755584375001,30.188300093749998,POINT(120.05755584375001 30.188300093749998)
G25长深高速与留下枢纽路口-东北向西南-5892,430,,1,0,120.0578065390625,30.187426476562496,POINT(120.0578065390625 30.187426476562496)
G25长深高速与留下枢纽路口-东北向西南-5992,431,,1,0,120.058099546875,30.186563445312494,POINT(120.058099546875 30.186563445312494)
G25长深高速与留下枢纽路口-东北向西南-6092,432,,1,0,120.05843175000001,30.185714937500002,POINT(120.05843175000001 30.185714937500002)
G25长深高速与留下枢纽路口-东北向西南-6192,433,,1,0,120.05882492187499,30.18487940625,POINT(120.05882492187499 30.18487940625)
G25长深高速与留下枢纽路口-东北向西南-6292,434,,1,0,120.05925975,30.1840681875,POINT(120.05925975 30.1840681875)
G25长深高速与留下枢纽路口-东北向西南-3892,435,,1,0,120.05865653125,30.205278843749998,POINT(120.05865653125 30.205278843749998)
G25长深高速与留下枢纽路口-东北向西南-6392,436,,1,0,120.05974296875002,30.183272046875,POINT(120.05974296875002 30.183272046875)
G25长深高速与留下枢纽路口-东北向西南-6492,437,,1,0,120.06027209375,30.18249865625,POINT(120.06027209375 30.18249865625)
G25长深高速与留下枢纽路口-东北向西南-6592,438,,1,0,120.060849375,30.181750015625,POINT(120.060849375 30.181750015625)
G25长深高速与留下枢纽路口-东北向西南-12892,439,,1,0,120.099501984375,30.1373176328125,POINT(120.099501984375 30.1373176328125)
G25长深高速与留下枢纽路口-东北向西南-6692,440,,1,0,120.06145778125001,30.181022343749998,POINT(120.06145778125001 30.181022343749998)
G25长深高速与留下枢纽路口-东北向西南-6792,441,,1,0,120.06211375000001,30.180323640624998,POINT(120.06211375000001 30.180323640624998)
G25长深高速与留下枢纽路口-东北向西南-6892,442,,1,0,120.06278454687501,30.1796280625,POINT(120.06278454687501 30.1796280625)
G25长深高速与留下枢纽路口-东北向西南-6992,443,,1,0,120.06346035546875,30.178946968749997,POINT(120.06346035546875 30.178946968749997)
G25长深高速与留下枢纽路口-东北向西南-7092,444,,1,0,120.06413850976563,30.178266515624998,POINT(120.06413850976563 30.178266515624998)
G25长深高速与留下枢纽路口-东北向西南-7192,445,,1,0,120.0648166640625,30.177586062499998,POINT(120.0648166640625 30.177586062499998)
G25长深高速与留下枢纽路口-东北向西南-3992,446,,1,0,120.05848421875001,30.20439625,POINT(120.05848421875001 30.20439625)
G25长深高速与留下枢纽路口-东北向西南-7292,447,,1,0,120.06549481835938,30.176905609374998,POINT(120.06549481835938 30.176905609374998)
G25长深高速与留下枢纽路口-东北向西南-7392,448,,1,0,120.06617297265623,30.17622515625,POINT(120.06617297265623 30.17622515625)
G25长深高速与留下枢纽路口-东北向西南-7492,449,,1,0,120.0668415625,30.175532390625,POINT(120.0668415625 30.175532390625)
G25长深高速与留下枢纽路口-东北向西南-7592,450,,1,0,120.06751990625,30.174854234374997,POINT(120.06751990625 30.174854234374997)
G25长深高速与留下枢纽路口-东北向西南-12992,451,,1,0,120.10037034375,30.136824078125002,POINT(120.10037034375 30.136824078125002)
G25长深高速与留下枢纽路口-东北向西南-7692,452,,1,0,120.068206875,30.174171062499997,POINT(120.068206875 30.174171062499997)
G25长深高速与留下枢纽路口-东北向西南-7792,453,,1,0,120.0688844375,30.173496625000002,POINT(120.0688844375 30.173496625000002)
G25长深高速与留下枢纽路口-东北向西南-7892,454,,1,0,120.06956555859375,30.17281429296875,POINT(120.06956555859375 30.17281429296875)
G25长深高速与留下枢纽路口-东北向西南-7992,455,,1,0,120.0702526875,30.1721324375,POINT(120.0702526875 30.1721324375)
G25长深高速与留下枢纽路口-东北向西南-8092,456,,1,0,120.07092771484375,30.171450410156254,POINT(120.07092771484375 30.171450410156254)
G25长深高速与留下枢纽路口-东北向西南-4092,457,,1,0,120.0583494375,30.203500500000004,POINT(120.0583494375 30.203500500000004)
G25长深高速与留下枢纽路口-东北向西南-8192,458,,1,0,120.0716010859375,30.1707631640625,POINT(120.0716010859375 30.1707631640625)
G25长深高速与留下枢纽路口-东北向西南-8292,459,,1,0,120.072268390625,30.170082109374995,POINT(120.072268390625 30.170082109374995)
G25长深高速与留下枢纽路口-东北向西南-8392,460,,1,0,120.07294176171874,30.169394863281248,POINT(120.07294176171874 30.169394863281248)
G25长深高速与留下枢纽路口-东北向西南-8492,461,,1,0,120.073615609375,30.168707671874998,POINT(120.073615609375 30.168707671874998)
G25长深高速与留下枢纽路口-东北向西南-8592,462,,1,0,120.07429790625,30.168029546874997,POINT(120.07429790625 30.168029546874997)
G25长深高速与留下枢纽路口-东北向西南-13092,463,,1,0,120.10124428125,30.136340437499996,POINT(120.10124428125 30.136340437499996)
G25长深高速与留下枢纽路口-东北向西南-8692,464,,1,0,120.07497548437499,30.167349507812503,POINT(120.07497548437499 30.167349507812503)
G25长深高速与留下枢纽路口-东北向西南-8792,465,,1,0,120.07565970312501,30.166667046875,POINT(120.07565970312501 30.166667046875)
G25长深高速与留下枢纽路口-东北向西南-8892,466,,1,0,120.07635584375001,30.166002640625003,POINT(120.07635584375001 30.166002640625003)
G25长深高速与留下枢纽路口-东北向西南-8992,467,,1,0,120.07708620312502,30.165354546875,POINT(120.07708620312502 30.165354546875)
G25长深高速与留下枢纽路口-东北向西南-4192,468,,1,0,120.05823742968751,30.202611765625,POINT(120.05823742968751 30.202611765625)
