link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
2,3,4,0721:00_0722:00,33.000,634.000,601.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0722:00_0723:00,33.000,668.000,634.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0723:00_0724:00,34.000,701.000,668.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0724:00_0725:00,33.000,734.000,701.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0725:00_0726:00,33.000,768.000,734.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0726:00_0727:00,34.000,801.000,768.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0727:00_0728:00,33.000,834.000,801.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0728:00_0729:00,33.000,868.000,834.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0729:00_0730:00,34.000,901.000,868.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0730:00_0731:00,33.000,934.000,901.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0731:00_0732:00,33.000,968.000,934.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0732:00_0733:00,34.000,1001.000,968.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0733:00_0734:00,33.000,1034.000,1001.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0734:00_0735:00,33.000,1068.000,1034.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0735:00_0736:00,34.000,1101.000,1068.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0736:00_0737:00,33.000,1134.000,1101.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0737:00_0738:00,33.000,1168.000,1134.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0738:00_0739:00,34.000,1201.000,1168.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0739:00_0740:00,33.000,1234.000,1201.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0740:00_0741:00,33.000,1268.000,1234.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0741:00_0742:00,34.000,1301.000,1268.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0742:00_0743:00,33.000,1334.000,1301.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0743:00_0744:00,33.000,1368.000,1334.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0744:00_0745:00,34.000,1401.000,1368.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0745:00_0746:00,33.000,1434.000,1401.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0746:00_0747:00,33.000,1468.000,1434.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0747:00_0748:00,34.000,1501.000,1468.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0748:00_0749:00,33.000,1534.000,1501.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0749:00_0750:00,33.000,1568.000,1534.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0750:00_0751:00,34.000,1601.000,1568.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0751:00_0752:00,33.000,1634.000,1601.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0752:00_0753:00,33.000,1668.000,1634.000,11.333,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0753:00_0754:00,34.000,1701.000,1668.000,11.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0754:00_0755:00,33.000,1734.000,1701.000,11.000,0.000,1.000,0.000,60.000,simulation-based
