link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,VDF_TYPE,daily_alpha,daily_beta
78,3,4,2/24/2016,7,1,0600_0900,118.0,39.333333333333336,72.54166666666667,0.5386163760108736,0,0,46.0,16.0,1.6388888888888888,0.0,71.9166666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.15005632748998218,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/25/2016,7,1,0600_0900,115.0,38.333333333333336,73.16666666666667,0.5261805838458048,0,0,54.0,20.0,1.513157894736842,0.0,72.08333333499999,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.1761530800969356,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/26/2016,7,1,0600_0900,118.0,39.333333333333336,72.93055555583335,0.5378829793243348,0,0,23.0,16.0,1.4047619047619047,0.0,72.2083333325,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.07502816374499109,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/27/2016,7,1,0600_0900,92.0,30.666666666666668,72.81944444416666,0.4200767584540143,0,0,21.0,20.0,1.7692307692307692,0.0,71.2916666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.06850397559325273,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/28/2016,7,1,0600_0900,52.0,17.333333333333332,73.48611111083333,0.23481984054877367,0,0,7.0,4.0,1.4444444444444444,0.0,71.875,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.022834658531084243,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/29/2016,7,1,0600_0900,127.0,42.333333333333336,73.055555555,0.5820907214090986,0,0,52.0,12.0,1.7638888888888888,0.0,70.8333333325,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.16962889194519723,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/3/2016,7,1,0600_0900,104.0,34.666666666666664,71.76388888916667,0.4893173731138196,0,0,50.0,24.0,1.5294117647058822,0.0,69.25,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.1631047037934589,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/4/2016,7,1,0600_0900,123.0,41.0,72.44444444416666,0.5689743936766253,0,0,33.0,24.0,1.8088235294117647,0.0,72.0416666675,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.10764910450368287,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/7/2016,7,1,0600_0900,60.0,20.0,73.26388888916667,0.27266221549516206,0,0,19.0,8.0,1.6666666666666667,0.0,71.875,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.061979787441514375,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
78,3,4,2/8/2016,7,1,0600_0900,121.0,40.333333333333336,74.43055555583334,0.5459301739222985,0,0,56.0,12.0,1.4404761904761905,0.0,73.04166666500001,1.5534456038632463,306.5515514703702,476.21115998910426,0.22365937604555056,0.18267726824867395,106.50909090909092,72.57424242432643,10.0,3.57,107,0.71,5.06
