link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
11812AB,13384,13380,1/1/2018,6,2,0600_0900,895.0,298.3333333333333,31.54166666666666,9.564735029924215,0,0,314.0,176.0,2.8503184713375798,0.25,2826.8495854349817,0.0069712002481726
11812BA,13380,13384,1/1/2018,6,2,0600_0900,848.0,282.6666666666667,27.13333333333333,10.488077028264987,0,0,340.0,96.0,2.4941176470588236,0.25,2721.910159508688,0.012306089769190757
11890AB,28245,28044,1/1/2018,6,2,0600_0900,1097.0,365.6666666666667,32.84166666666667,11.210618261927353,0,0,271.0,162.0,4.047970479704797,0.25,2061.5340007107325,0.005523228525566734
11890BA,28044,28245,1/1/2018,6,2,0600_0900,1019.0,339.6666666666667,31.829166666666666,10.6756643070204,0,0,422.0,156.0,2.414691943127962,0.25,2350.6066307819274,0.006539926746076854
11902AB,13415,13412,1/1/2018,6,2,0600_0900,1064.5,354.8333333333333,28.425,12.754801434365385,0,0,456.5,134.0,2.3318729463307775,0.25,3212.5352605649136,0.01040544432966973
11902BA,13412,13415,1/1/2018,6,2,0600_0900,674.0,224.66666666666666,32.362500000000004,6.956820422380616,0,0,274.0,94.0,2.45985401459854,0.25,1294.9218498941539,0.005979064392611158
11934AB,12328,12312,1/1/2018,6,2,0600_0900,1180.0,393.3333333333333,30.25833333333333,13.216738116246615,0,0,461.0,148.0,2.5596529284164857,0.25,2792.2853146744487,0.00818871209493023
11934BA,12312,12328,1/1/2018,6,2,0600_0900,1689.0,563.0,28.28333333333333,19.985740687319822,0,0,768.5,188.0,2.1977878985035786,0.25,4535.0962541945855,0.010469988027746804
11946AB,13435,13436,1/1/2018,6,2,0600_0900,1330.5,443.5,27.599999999999998,16.252486375833303,0,0,397.0,208.0,3.3513853904282116,0.25,5441.627694957105,0.01135489219200117
11946BA,13436,13435,1/1/2018,6,2,0600_0900,1221.5,407.1666666666667,37.229166666666664,10.91703371759795,0,0,197.5,130.0,6.184810126582279,0.25,586.890342395462,0.0019594362393010882
11975AB,12314,12321,1/1/2018,6,2,0600_0900,1111.0,370.3333333333333,38.854166666666664,9.549366293584239,0,0,365.5,150.0,3.039671682626539,0.25,357.0069471786807,0.0010330062129012751
11975BA,12321,12314,1/1/2018,6,2,0600_0900,1133.0,377.6666666666667,40.025,9.511613147099007,0,0,465.5,136.0,2.4339419978517722,0.25,206.1555862884069,0.0006579209631855307
11977AB,13425,13416,1/1/2018,6,2,0600_0900,1282.0,427.3333333333333,26.487499999999997,16.7365692361429,0,0,624.0,126.0,2.0544871794871793,0.25,3780.0207598409725,0.013020904844028921
11977BA,13416,13425,1/1/2018,6,2,0600_0900,1346.5,448.8333333333333,23.670833333333334,19.25181218074177,0,0,541.5,180.0,2.486611265004617,0.25,7217.793767308329,0.01740401660712849
12170AB,13550,13580,1/1/2018,6,2,0600_0900,226.0,75.33333333333333,36.291666666666664,2.083069496020548,0,0,56.0,44.0,2.13485643240065,0.25,281.03597927400307,0.0027722141263612984
12170BA,13580,13550,1/1/2018,6,2,0600_0900,889.6666667,296.55555556666667,36.55555555583334,8.059926696906176,0,0,202.0,168.0,4.40429042920792,0.25,952.8265670333535,0.002461626175578067
12187AB,13581,13584,1/1/2018,6,2,0600_0900,1368.5,456.1666666666667,37.30416666666666,12.338028415140917,0,0,537.0,266.0,2.5484171322160147,0.25,1181.2333981393203,0.0019273988978620385
