link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
8224AB,11436,11437,1/1/2018,1,2,0600_0900,4559.166666666667,1519.7222222222224,60.755555555833325,25.046727593892246,0,0,1549.0,1200.6666666666667,2.94329675059178,0.25,6031.7555745404,0.00218041321608814,0.713139010685582,0.8369300783413246,0.69,4.97,201,0.5,4.21
8776AB,11667,11668,1/1/2018,1,2,0600_0900,4204.25,1401.4166666666667,33.126041666666666,46.36830603124907,2,11,3371.625,1348.65,1.2469506543580617,2.5,61.572101514414825,0.01981537270115242,0.713139010685582,1.8217006942463323,0.69,4.97,201,0.5,4.21
8781AB,11674,11675,1/1/2018,1,2,0600_0900,3730.625,1243.5416666666667,69.66875,17.8556976622648,0,0,1286.0,1171.0,2.900952566096423,0.25,284.93431690103904,0.0001056100840112614,0.713139010685582,0.6948302651691048,0.69,4.97,201,0.5,4.21
9117AB,11855,11856,1/1/2018,1,2,0600_0900,2800.0,933.3333333333334,30.455,34.860394870428486,0,11,2800.0,933.3333333333334,1.0,3.0,29.12746335377969,0.02340599733785868,0.713139010685582,1.5128497219856094,0.69,4.97,201,0.5,4.21
9120AB,11859,11813,1/1/2018,1,2,0600_0900,2202.5,734.1666666666666,71.9125,10.21104282624826,0,0,739.5,732.4,2.978363759296822,0.25,0.0,0.0,0.713139010685582,0.3995544176458422,0.69,4.97,201,0.5,4.21
9578AB,12004,9889,1/1/2018,1,2,0600_0900,3464.875,1154.9583333333333,56.76145833333334,20.419916022498352,0,0,1239.125,913.5,2.7962271764349844,0.25,7051.27178876008,0.0033502439244473717,0.713139010685582,0.6695035399126493,0.69,4.97,201,0.5,4.21
11152AB,12852,13018,1/1/2018,1,2,0900_1400,6804.166666666667,1360.8333333333335,62.581666666500006,21.759199049247265,0,0,1516.1666666666667,1284.6666666666667,4.487743212047928,0.25,5017.041818571236,0.001695019858484163,0.5776851552398328,0.8191901143394695,0.4,4.95,201,0.5,4.21
11153AB,13019,13020,1/1/2018,1,2,0900_1400,8124.333333333334,1624.8666666666668,60.25583333350001,26.97781995296623,0,0,1672.1666666666667,1579.3333333333333,4.858566729791687,0.25,8431.319694988853,0.002317070673881399,0.5776851552398328,0.9034774559929535,0.4,4.95,201,0.5,4.21
11374AB,13151,13152,1/1/2018,1,2,0900_1400,3274.333333333333,654.8666666666666,65.37833333300001,10.017934156041333,0,0,648.5,748.6666666666666,5.049087638139295,0.25,1743.0181307230007,0.0010104874700410686,0.5776851552398328,0.35038680168130987,0.4,4.95,201,0.5,4.21
11485AB,13212,13149,1/1/2018,1,2,0900_1400,2155.5,431.1,66.639375,6.46905761365807,0,0,422.75,443.0,5.098758131283264,0.25,735.6264608171372,0.0007207275802776378,0.5776851552398328,0.22841329284622014,0.4,4.95,201,0.5,4.21
12349AB,13659,13666,1/1/2018,1,2,0900_1400,6171.875,1234.375,68.524375,18.043597622350184,0,0,1404.625,1433.5,4.393966361128415,0.25,1045.1349006583132,0.0003164405848697078,0.5776851552398328,0.7589237645514416,0.4,4.95,201,0.5,4.21
12350AB,13513,13660,1/1/2018,1,2,0900_1400,4368.1,873.6200000000001,72.59349999999999,12.034301194029887,0,0,904.1999999999999,725.2,4.830900243309003,0.25,0.0,0.0,0.5776851552398328,0.48854239950692424,0.4,4.95,201,0.5,4.21
13467AB,14323,14190,1/1/2018,1,2,0900_1400,5926.0,1185.2,70.991666667,16.70918054113176,0,0,1167.6666666666667,1174.6666666666667,5.0750785041393085,0.25,63.600735843754045,2.3499846234360973e-05,0.5776851552398328,0.630894354299475,0.4,4.95,201,0.5,4.21
13468AB,14337,14334,1/1/2018,1,2,0900_1400,5861.25,1172.25,65.97999999999999,17.78946623420756,0,0,1296.0,1363.0,4.522569444444445,0.25,2746.9142215908823,0.000874715389099974,0.5776851552398328,0.700233299890482,0.4,4.95,201,0.5,4.21
14164AB,14697,14682,1/1/2018,1,2,0900_1400,7298.1,1459.6200000000001,66.7945,22.443575732075832,2,2,1579.1,1532.8,4.621683237287063,0.25,3934.4463351228237,0.0011140781573716605,0.5776851552398328,0.8531932128526699,0.4,4.95,201,0.5,4.21
14165AB,14678,14716,1/1/2018,1,2,0900_1400,6555.799999999999,1311.1599999999999,63.6385,20.84896931742919,0,0,1401.9999999999998,1187.6,4.676034236804565,0.25,4223.764367086503,0.001543643534947387,0.5776851552398328,0.75750546793708,0.4,4.95,201,0.5,4.21
15377AB,15154,15331,1/1/2018,1,2,0900_1400,5985.799999999999,1197.1599999999999,67.58049999999999,17.755057756975837,0,0,1023.6000000000001,1098.4,5.847792106291519,0.25,1316.0768628026774,0.0005200418027558224,0.5776851552398328,0.5530546340801679,0.4,4.95,201,0.5,4.21
15378AB,15330,15326,1/1/2018,1,2,0900_1400,5048.833332574999,1009.7666665149998,68.142083333,14.89296639415284,0,0,1097.49999975,1041.0,4.60030372093401,0.25,1091.026764219386,0.00045488561188301586,0.5776851552398328,0.5929830605360692,0.4,4.95,201,0.5,4.21
23696AB,20104,20105,1/1/2018,1,2,0900_1400,4351.199999999999,870.2399999999998,70.88,12.277016838577556,0,0,805.9,783.2,5.399181039831244,0.25,4.805278053177271,2.6629521897661606e-06,0.5776851552398328,0.4354305681957866,0.4,4.95,201,0.5,4.21
24393AB,20522,20512,1/1/2018,1,2,0900_1400,6059.875,1211.975,64.468125,18.812271273813277,0,0,1331.0,1099.0,4.552873779113448,0.25,3106.9598893595294,0.0012270308429694332,0.5776851552398328,0.7191439214153021,0.4,4.95,201,0.5,4.21
24729AB,20702,20703,1/1/2018,1,2,0900_1400,4727.25,945.45,64.401875,14.68295301944786,0,0,898.0,899.0,5.264198218262806,0.25,2575.5218476569626,0.0012434349545680397,0.5776851552398328,0.48519251797967045,0.4,4.95,201,0.5,4.21
24777AB,20611,20729,1/1/2018,1,2,0900_1400,3824.166666666667,764.8333333333334,69.6991666665,10.976524959937212,0,0,658.3333333333334,768.0,5.808860759493671,0.25,154.6604952608431,8.74048842032217e-05,0.5776851552398328,0.35569978582399747,0.4,4.95,201,0.5,4.21
24779AB,20732,20728,1/1/2018,1,2,0900_1400,3297.833333333333,659.5666666666666,69.4816666655,9.496895708901729,0,0,747.5,756.6666666666666,4.411817168338907,0.25,216.77278017814373,0.0001243419489825072,0.5776851552398328,0.40387684542294394,0.4,4.95,201,0.5,4.21
24782AB,20734,40856,1/1/2018,1,2,0900_1400,3303.666666666667,660.7333333333333,71.41833333400001,9.252493516826748,0,0,708.5,610.6666666666666,4.662902846389085,0.25,0.0,0.0,0.5776851552398328,0.38280501000957295,0.4,4.95,201,0.5,4.21
25079AB,20909,20105,1/1/2018,1,2,0900_1400,1248.5,249.7,78.835,3.167866716726103,0,0,252.5,208.0,4.721982194747583,0.25,0.0,0.0,0.5776851552398328,0.1364266267147737,0.4,4.95,201,0.5,4.21
25199AB,20613,20972,1/1/2018,1,2,0900_1400,5129.375,1025.875,61.28937499999999,16.772025336023738,0,0,1111.125,1127.0,4.616379795252559,0.25,5300.801699616841,0.0020414331695877237,0.5776851552398328,0.6003446954790215,0.4,4.95,201,0.5,4.21
28260AB,22723,22663,1/1/2018,1,2,0900_1400,6185.375,1237.075,66.53562500000001,18.61091179637002,0,0,1412.25,1416.5,4.379801734820322,0.25,2435.6559321304485,0.0007463059171576706,0.5776851552398328,0.7630435785264917,0.4,4.95,201,0.5,4.21
